,enriched_smiles,name
154,[Li]<-N1=C(OC)CCC1,ligand191-0
155,[Li]<-n1cn(-c2ccc(Oc3ccccc3)cc2)cn1,ligand1029-0
156,[Be]=[C]1N(CC)c2ccccc2N1CC,ligand174-0
157,[Li]<-n1c(C)cccc1C,ligand222-0
158,[Li]<-P(c1ccccc1)(c1ccccc1)c1cccc(C=O)n1,ligand1042-0
159,[Be]=[C]1N(C)C=CN1COCCC,ligand1043-0
160,[Li]<-NCc1ccccc1,ligand222-0
161,[Li]<-P1(C(=CP(N(C(C)C)C(C)C)N(C(C)C)C(C)C)C(C)(C)C)Oc2c(Cl)c(Cl)c(Cl)c(Cl)c2O1,ligand1072-0
162,[Be]=[C](NC(C)(C)C)N1CCCC1,ligand1077-0
163,[Li]<-N(CC)Cc1ccccc1,ligand866-0
164,[Li]<-P(c1ccccc1)(c1ccccc1)c1cccc(C(C)(C)CC)n1,ligand1093-0
165,[Be]=[C]1N(c2c(C(C)C)cccc2C(C)C)C(Cl)=C(Cl)N1c1c(C(C)C)cccc1C(C)C,ligand1099-0
166,[Li]<-P(CNc1ccc(Cl)nc1)(c1ccccc1)c1ccccc1,ligand1105-0
167,[Be]=[C]1N(c2c(C)cc(C)cc2C)C(=O)C(=NC(C)C)N1c1c(C)cc(C)cc1C,ligand1108-0
168,[Be]=[C]1N(C)N=CN1n1c(C)ccc1C,ligand1109-0
169,[Li]<-n1cccc(N=Cc2cc(OC)ccc2O)c1,ligand1130-0
170,[Li]<-n1c(N)ccc2ccccc21,ligand1140-0
171,[Li]<-P(OC)(c1ccccc1)c1ccccc1,ligand1146-0
172,[Li]<-[As](c1ccccc1)(c1ccccc1)c1ccccc1,ligand1152-0
173,[Li]<-P(c1ccccc1)c1ccccc1,ligand1153-0
174,[Li]<-n1c(C(F)(F)F)cc(C(F)(F)F)n1Cn1nc(C(F)(F)F)cc1C(F)(F)F,ligand1156-0
175,[Li]<-n1ccc(C=C)cc1,ligand1008-0
176,[Li]<-n1cccc2cccc(Br)c21,ligand1176-0
177,[Li]<-N(CC)CC,ligand709-0
178,[Be]=[C]1N(CC)c2ccccc2N1CC(N)=O,ligand1185-0
179,[Be]=[C]1N2C(=CN1c1c(C(C)C)cccc1C(C)C)C=CC=C2c1c(C(C)C)cc(C(C)C)cc1C(C)C,ligand1188-0
180,[Li]<-S=C(NC1CCCCC1)NC1CCCCC1,ligand1200-0
181,[Li]<-N=C(C)OC,ligand204-0
182,[Li]<-n1ccc(CO)cc1,ligand1204-0
183,[Li]<-P(c1c(C)cc(C)cc1C)C(C)(C)C,ligand1211-0
184,[Li]<-P12CN(CN(C(C)=O)C1)CN(C(C)=O)C2,ligand1216-0
185,[Li]<-N1=C(c2ccc(Br)cc2)C1,ligand1217-0
186,[Be]=[C]1N(c2c(CC)cccc2CC)C(C)(C)CC1(C)C,ligand1226-0
187,[Li]<-P(OC)(OC)OC,ligand1228-0
