tmQMg-L ligand ID,Decoded SMILES,Connection IDs,Encoded SMILES
ligand228-0,[H]C([H])([H])N(C([H])([H])[H])C([H])([H])C([H])([H])P(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H],"[[0], [13]]",CC(C)P1(CCN(C)(C)->[Ir]<-1)C(C)C
ligand234-0,[H]c1nc(-c2nc([H])c([H])c(C(=O)OC([H])([H])C([H])([H])[H])c2[H])c([H])c(C(=O)OC([H])([H])C([H])([H])[H])c1[H],"[[0], [9]]",CCOC(=O)c1ccn2->[Ir]<-n3ccc(C(=O)OCC)cc3-c2c1
ligand237-0,[H]/N=N/c1nc([H])c([H])c([H])c1[H],"[[5], [8]]",c1ccn2->[Ir]<-N=Nc2c1
ligand242-0,[H]c1nc(C([H])([H])[H])nc(-c2nc(C([H])([H])[H])nc([H])c2[H])c1[H],"[[0], [10]]",Cc1nccc2-c3ccnc(C)n3->[Ir]<-n21
ligand252-0,[H]C1=C([H])C([H])=C(P(C2=C([H])C([H])=C([H])C([H])=C2[H])C([H])([H])P(C2=C([H])C([H])=C([H])C([H])=C2[H])C2=C([H])C([H])=C([H])C([H])=C2[H])C([H])=C1[H],"[[0], [8]]",c1ccc(P2(CP(->[Ir]<-2)(c2ccccc2)c2ccccc2)c2ccccc2)cc1
ligand254-0,[H]C1=C([H])C([H])=C2C(=C1[H])OP(OC([H])([H])C1=NC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])O1)C1=C2C([H])=C([H])C([H])=C1[H],"[[0], [17]]",CC1(C)COC2COP3(->[Ir]<-N=21)Oc1ccccc1-c1ccccc13
ligand260-0,[H]C1=C([H])C([H])=C(P(C2=C([H])C([H])=C([H])C([H])=C2[H])C([H])([H])N(C([H])([H])C(=O)N([H])C2=C([H])C3=C(C([H])=C2[H])C2=C(C([H])=C([H])C([H])=C2[H])C3([H])[H])C([H])([H])P(C2=C([H])C([H])=C([H])C([H])=C2[H])C2=C([H])C([H])=C([H])C([H])=C2[H])C([H])=C1[H],"[[0], [24]]",O=C(CN1CP(->[Ir]<-P(C1)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1)Nc1ccc2c(c1)Cc1ccccc1-2
ligand277-0,[H]c1nc(-n2nc(-c3c([H])c([H])c([H])c([H])c3[H])c([H])c2[H])c([H])c([H])c1[H],"[[0], [7]]",c1ccc(-c2ccn3-c4ccccn4->[Ir]<-n23)cc1
ligand282-0,[H]C1=C([H])C([H])=C(P2C([H])=C(C([H])([H])[H])C(C([H])([H])[H])=C2C2=C(C([H])([H])[H])C(C([H])([H])[H])=C([H])P2C2=C([H])C([H])=C([H])C([H])=C2[H])C([H])=C1[H],"[[0], [11]]",Cc1cp2(->[Ir]<-p3(-c4ccccc4)cc(C)c(C)c3-c2c1C)-c1ccccc1
ligand287-0,[H]c1c([H])c([H])c(C([H])([H])Oc2c([H])c(C(=O)OC([H])([H])C([H])([H])[H])nc3c([H])c([H])c(N(C([H])([H])[H])C([H])([H])[H])c([H])c23)c([H])c1[H],"[[2], [8]]",CCOC1=O->[Ir]<-n2c1cc(OCc1ccccc1)c1cc(N(C)C)ccc12
