tmQMg-L ligand ID,Decoded SMILES,Connection IDs,Encoded SMILES
ligand389-0,[H]C1=C(OC([H])([H])[H])C([H])=C(OC([H])([H])[H])C(P(C2=C(OC([H])([H])[H])C([H])=C(OC([H])([H])[H])C([H])=C2OC([H])([H])[H])C2=C(OC([H])([H])[H])C([H])=C(OC([H])([H])[H])C([H])=C2OC([H])([H])[H])=C1OC([H])([H])[H],[[0]],[Li]<-P(c1c(OC)cc(OC)cc1OC)(c1c(OC)cc(OC)cc1OC)c1c(OC)cc(OC)cc1OC
ligand393-0,[H]C1=C([H])/C2=C3\C([H])=C([H])C([H])=C([H])N3CN2C([H])=C1[H],[[0]],[Be]=[C]1N2C=CC=CC2=C2C=CC=CN12
ligand396-0,[H]c1nc([H])c(C([H])([H])C([H])([H])[H])c([H])c1[H],[[0]],[Li]<-n1cccc(CC)c1
ligand399-0,[H]C([H])([H])N(P(N(C([H])([H])[H])C([H])([H])[H])N(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H],[[0]],[Li]<-P(N(C)C)(N(C)C)N(C)C
ligand403-0,[H]C1=C([H])C([H])=C(C([H])(C2=C([H])C([H])=C([H])C([H])=C2[H])N2CN(C3=C(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])=C([H])C([H])=C3C([H])(C([H])([H])[H])C([H])([H])[H])C([H])=C2[H])C([H])=C1[H],[[2]],[Be]=[C]1N(c2c(C(C)C)cccc2C(C)C)C=CN1C(c1ccccc1)c1ccccc1
ligand410-0,[H]C1=C([H])C2=C([H])C([H])=C([H])C([C@@]([H])(N3CN([C@]([H])(C4=C([H])C([H])=C([H])C5=C4C([H])=C([H])C([H])=C5[H])C([H])([H])[H])C([H])=C3[H])C([H])([H])[H])=C2C([H])=C1[H],[[1]],[Be]=[C]1N(C(C)c2cccc3ccccc23)C=CN1C(C)c1cccc2ccccc12
ligand417-0,[H]c1c([H])c([H])c2c(nnn2C([H])([H])n2c(C([H])([H])[H])nc3c([H])c([H])c([H])c([H])c32)c1[H],[[0]],[Li]<-n1c(C)n(Cn2nnc3ccccc32)c2ccccc21
ligand419-0,[H]c1sc(N([H])[H])nc1C([H])([H])[H],[[5]],[Li]<-n1c(C)csc1N
ligand433-0,[H]Oc1c([H])c([H])c([H])c(C([H])([H])n2nc(C([H])([H])[H])c([H])c2C([H])([H])[H])c1[H],[[0]],[Li]<-n1c(C)cc(C)n1Cc1cccc(O)c1
ligand437-0,[H]C1=C([H])C([H])=C(C([H])([H])N([H])CC([H])([H])[H])C([H])=C1[H],[[0]],[Be]=[C](C)NCc1ccccc1
ligand438-0,[H]OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])N1CN(C([H])([H])C(O[H])(C([H])([H])[H])C([H])([H])[H])C([H])=C1[H],[[1]],[Be]=[C]1N(CC(C)(C)O)C=CN1CC(C)(C)O
ligand447-0,[H]C1([H])C([H])([H])C([H])([H])C([H])(P(C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C([H])([H])C1([H])[H],[[0]],[Li]<-P(C1CCCCC1)(C1CCCCC1)C1CCCCC1
ligand458-0,[H]/C(=N\C([H])([H])c1c([H])c([H])c(Cl)c([H])c1[H])c1c([H])c([H])c(Cl)c([H])c1[H],[[13]],[Li]<-N(=Cc1ccc(Cl)cc1)Cc1ccc(Cl)cc1
ligand472-0,[H]c1c([H])c([H])c(C(=S)N([H])[H])c([H])c1[H],[[0]],[Li]<-S=C(N)c1ccccc1
