,enriched_smiles,name
111,CC(C)(C)P(->[Ir])(c1nccn1P(->[Ir])(c1ccccc1)c1ccccc1)C(C)(C)C,ligand751-0
112,[Ir]<-N(=Nc1ccccn1->[Ir])c1ccccc1,ligand757-0
113,Cc1ccccc1N(->[Ir])=Cc1ccc2ccccc2n1->[Ir],ligand789-0
114,[Ir]<-N(=Cc1c2ccccc2cc2ccccc12)CCS(->[Ir])c1ccccc1,ligand792-0
115,[Ir]<-N1=C(C2(C3=N(->[Ir])C4c5ccccc5CC4O3)CC2)OC2Cc3ccccc3C21,ligand793-0
116,[Be]=[C]1N(CCOCCOCCN2[C](=[Be])N(C(C)CC)c3ccccc32)c2ccccc2N1C(C)CC,ligand808-0
117,Cc1cc(C)c(N(->[Ir])=C2C(=N(->[Ir])c3c(C)cc(C)cc3C)c3cccc4cccc2c34)c(C)c1,ligand809-0
118,CCCS(->[Ir])CCS(->[Ir])CCC,ligand812-0
119,O=C(O)c1[s+]c(=C(c2ccccn2->[Ir])c2ccccn2->[Ir])sc1=C([O-])O,ligand820-0
120,[Ir]<-n1cccc2c3nccnc3c3cccn(->[Ir])c3c21,ligand825-0
121,[Ir]<-n1ccccc1P(->[Ir])(c1ccccc1)c1ccccc1,ligand827-0
122,[Ir]<-P(CCP(->[Ir])(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,ligand830-0
123,CC(C)(C)C(=CP(->[Ir])(c1ccccc1)c1ccccc1)S(->[Ir])c1ccccc1,ligand847-0
124,CCC1CCC(CC)P1(->[Ir])c1ccccc1P1(->[Ir])C(CC)CCC1CC,ligand853-0
125,CC(C)(C)N(->[Ir])=Cc1ccccn1->[Ir],ligand856-0
126,Cc1cc(C)n(->[Ir])n1CCN(->[Ir])C(C)(C)C,ligand865-0
127,[Be]=[C]1C=CC(N(C)C)=CN1c1ccccn1->[Ir],ligand879-0
128,Cc1c(O)n(C(N)=S->[Ir])n(->[Ir])c1C,ligand880-0
129,[Ir]<-[Se](CC[Se](->[Ir])c1ccccc1)c1ccccc1,ligand887-0
130,CNC(=O->[Ir])c1ccccn1->[Ir],ligand902-0
131,[Ir]<-P(C=CP(->[Ir])(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,ligand909-0
132,[Ir]<-N(Cc1ccccc1)CC1CC(c2ccccc2)N1(->[Ir])Cc1ccccc1,ligand913-0
133,CCCCCCn1cc(-c2ccccn2->[Ir])n(->[Ir])n1,ligand925-0
134,Clc1ccc(N(->[Ir])=C2SCCN2C2=N(->[Ir])CCCS2)cc1Cl,ligand926-0
135,CCOC(=O)CCN(->[Ir])=Cc1ccccn1->[Ir],ligand935-0
136,COc1ccc(N(->[Ir])=Cc2ccccn2->[Ir])cc1,ligand946-0
137,CN1(->[Ir])CCCS(->[Ir])CCC1,ligand951-0
138,[Ir]<-NCCCCN->[Ir],ligand956-0
139,Brc1ccc(N=N(->[Ir])c2ccccc2)n(->[Ir])c1,ligand958-0
140,CP(C)(CCP(C)(C)->[Ir])=O->[Ir],ligand969-0
141,C[Si](C)(C)C#Cc1ccn(->[Ir])c(-c2ccccn2->[Ir])c1,ligand978-0
142,O=N(->[Ir])c1ccccc1N->[Ir],ligand982-0
143,[Ir]<-N1=C(C2=N(->[Ir])C(Cc3ccccc3)CO2)OCC1Cc1ccccc1,ligand998-0
144,Cc1ccc(-c2ccc(C)cn2->[Ir])n(->[Ir])c1,ligand1007-0
145,CCN(->[Ir])(CC)CCP(->[Ir])(c1ccccc1)c1ccccc1,ligand1021-0
146,[Be]=[C]1NC(C(C)(C)C)=CN1CCP(->[Ir])(c1ccccc1)c1ccccc1,ligand1026-0
147,CN(->[Ir])C1CCCCC1N(C)->[Ir],ligand1030-0
148,[Ir]<-n1ccccc1-c1c2ccccn2nn1->[Ir],ligand1045-0
149,CS(->[Ir])c1cccc2cccn(->[Ir])c12,ligand1053-0
150,CC1CCC(C)P1(->[Ir])c1ccccc1P1(->[Ir])C(C)CCC1C,ligand1054-0
151,CC(C)(C)N(->[Ir])=CC1=C(P(->[Ir])(c2ccccc2)c2ccccc2)CCC1,ligand1060-0
152,CC(C)P(->[Ir])(CP(->[Ir])(C1CCCCC1)C1CCCCC1)C(C)C,ligand1067-0
153,[Ir]<-N(=Cc1ccccc1)CCN(->[Ir])=Cc1ccccc1,ligand1073-0
154,Cn1ccn(->[Ir])c1-c1n(C)ccn1->[Ir],ligand1074-0
155,[Ir]<-n1ccccc1-c1cn(-c2ccc(-c3ccccc3)cc2)nn1->[Ir],ligand1079-0
156,CSCCN(->[Ir])Cc1ccccn1->[Ir],ligand1081-0
157,[Ir]<-n1cccc2c1-c1c(cccn1->[Ir])NC1(CCCCC1)N2,ligand1082-0
158,COCCO(->[Ir])CCOCCOCCO(C)->[Ir],ligand1092-0
159,[Ir]<-n1cccc2c3nc(-c4cccs4)[nH]c3c3cccn(->[Ir])c3c21,ligand1111-0
160,CN(->[Ir])C1CCN(->[Ir])C1,ligand1115-0
161,Oc1ccccc1N(->[Ir])Cc1ccccn1->[Ir],ligand1118-0
162,CCOP(OCC)(=O->[Ir])C(c1ccccc1)P(->[Ir])(c1ccccc1)c1ccccc1,ligand1119-0
163,CC1(C)C2CC(=N(O)->[Ir])C(C)(S(->[Ir])Cc3ccccc3)C1C2,ligand1127-0
164,[Ir]<-n1c(-c2sc3ccccc3n2->[Ir])ccc2ccccc21,ligand1161-0
165,[Ir]<-n1ccccc1CP(->[Ir])(c1ccccc1)c1ccccc1,ligand1163-0
166,[Ir]<-NCCCN->[Ir],ligand1171-0
167,CC(C)(C)c1cc(C(C)(C)C)n(->[Ir])n1Cc1ccccn1->[Ir],ligand1179-0
168,COc1ccccc1P(->[Ir])(CCP(->[Ir])(c1ccccc1OC)c1ccccc1OC)c1ccccc1OC,ligand1182-0
169,CS(->[Ir])c1ccccc1P(->[Ir])(c1ccccc1)c1ccccc1,ligand1202-0
170,CC(C)c1cccc(C(C)C)c1-n1cc(-c2cn(-c3c(C(C)C)cccc3C(C)C)nn2->[Ir])n(->[Ir])n1,ligand1207-0
171,CC(=P(->[Ir])c1c(C(C)(C)C)cc(C(C)(C)C)cc1C(C)(C)C)P(=O->[Ir])(c1ccccc1)c1ccccc1,ligand1215-0
172,CP(C)(->[Ir])CCN->[Ir],ligand1227-0
173,CC(C)(C)C(=CP(->[Ir])(c1ccccc1)c1ccccc1)P(->[Ir])(c1ccccc1)c1ccccc1,ligand1230-0
174,CCP(->[Ir])(CCc1ccccn1->[Ir])c1ccccc1,ligand1237-0
175,[Ir]<-N12CCCCC1C1CC(C2)C2CCCCN2(->[Ir])C1,ligand1246-0
176,CC(C)(C)C(=N(->[Ir])c1ccccc1)P(->[Ir])(c1ccccc1)c1ccccc1,ligand1249-0
177,[Be]=[C]1N(C(C)C)C=CN1P(->[Ir])(C(C)(C)C)C(C)(C)C,ligand1287-0
178,[Be]=[C]1N(C)C=CN1CN1C=CN(C)[C]1=[Be],ligand1299-0
179,CCOC(=O)Cn1cc(Cl)c(-c2ccccn2->[Ir])n1->[Ir],ligand1301-0
180,CP(C)(->[Ir])CCCP(C)(C)->[Ir],ligand1306-0
